syn	length	gc
ENSG00000251913.1	RNU6-513P	104	0.423
ENSG00000276027.1	RNU12	150	0.52
ENSG00000270022.3	Z93241.1	664	0.492
ENSG00000249222.1	ATP5MGL	799	0.451
ENSG00000200448.1	Y_RNA	100	0.43
ENSG00000234009.1	RPL5P34	891	0.452
ENSG00000229608.1	GOLGA2P4	777	0.574
ENSG00000274717.1	AL049757.1	1596	0.645
ENSG00000226989.1	AL049758.1	397	0.506
ENSG00000230319.1	AL022476.1	2083	0.496
ENSG00000234735.1	AL022237.1	358	0.447
ENSG00000100290.3	BIK	951	0.559
ENSG00000236272.1	SCUBE1-AS2	531	0.565
ENSG00000234892.1	Z82214.1	988	0.58
ENSG00000203527.2	SCUBE1-AS1	1951	0.527
ENSG00000236117.1	LINC01639	951	0.54
ENSG00000286801.1	BX546033.1	1694	0.534
ENSG00000233157.1	Z97055.1	712	0.382
ENSG00000180150.5	HMGN2P9	229	0.472
ENSG00000224856.2	AL035398.1	322	0.453
ENSG00000279175.1	AL033543.1	13454	0.485
ENSG00000280434.1	AL031595.3	14262	0.529
ENSG00000279933.1	AL031595.1	4709	0.545
ENSG00000280011.1	AL031595.2	19071	0.483
ENSG00000138944.8	SHISAL1	6853	0.53
ENSG00000220702.1	Z85994.1	606	0.503
ENSG00000236079.1	Z85994.2	452	0.44
ENSG00000232655.1	LINC01656	630	0.586
ENSG00000228807.1	MRPS18CP6	223	0.372
ENSG00000279642.1	AL023973.1	620	0.537
ENSG00000188636.4	RTL6	5419	0.553
ENSG00000215333.3	KRT18P23	1283	0.56
ENSG00000234300.1	LINC00229	500	0.59
ENSG00000231801.2	ANP32BP2	545	0.446
ENSG00000230922.1	AL079301.1	1633	0.541
ENSG00000273243.1	Z82243.1	473	0.44
ENSG00000273353.1	AL008718.3	321	0.33
ENSG00000221598.3	MIR1249	66	0.652
ENSG00000273287.2	AL008718.2	1313	0.615
ENSG00000213752.3	AL008718.1	487	0.561
ENSG00000232363.1	AL021391.1	545	0.602
ENSG00000238120.1	LINC01589	548	0.462
ENSG00000251985.1	RNU6-1161P	102	0.441
ENSG00000280383.1	Z95331.1	23112	0.419
ENSG00000264160.1	MIR4762	75	0.44
ENSG00000235347.1	Z84478.1	1219	0.395
ENSG00000279954.1	BX324167.2	3316	0.592
ENSG00000280424.1	BX537318.2	4162	0.589
ENSG00000273145.1	BX537318.1	1207	0.594
ENSG00000182257.8	PRR34	2817	0.591
ENSG00000273289.1	AL121672.3	468	0.575
ENSG00000231010.1	AL121672.1	1181	0.55
ENSG00000235159.1	AL121672.2	867	0.479
ENSG00000266533.1	MIR3619	83	0.651
ENSG00000283990.1	MIRLET7A3	74	0.459
ENSG00000284175.1	MIR4763	92	0.772
ENSG00000284520.1	MIRLET7B	83	0.53
ENSG00000280384.1	FP325332.1	2045	0.482
ENSG00000130943.7	PKDREJ	7681	0.475
ENSG00000230634.1	AL031597.1	432	0.558
ENSG00000234869.1	AL021392.1	2949	0.563
ENSG00000260708.1	AL118516.1	670	0.516
ENSG00000280312.1	Z83836.1	1642	0.505
ENSG00000224715.1	Z82186.1	4364	0.549
ENSG00000232897.2	AL117329.2	740	0.464
ENSG00000279712.1	FP325330.3	9537	0.512
ENSG00000235154.1	FP325330.1	372	0.527
ENSG00000278890.1	FP325330.2	5630	0.497
ENSG00000238192.1	BX284656.2	498	0.526
ENSG00000229275.1	BX284656.1	668	0.533
ENSG00000285707.1	AL008720.1	2516	0.514
ENSG00000266508.1	MIR3201	52	0.385
ENSG00000288540.1	AL008720.2	2525	0.568
ENSG00000285855.1	Z72006.1	784	0.515
ENSG00000233179.1	Z82249.1	568	0.572
ENSG00000266887.1	MIR4535	59	0.559
ENSG00000285623.1	Z82202.2	988	0.566
ENSG00000226142.2	RPL35P8	337	0.543
ENSG00000280199.1	Z82202.1	1880	0.572
ENSG00000285722.1	AC207130.1	2340	0.494
ENSG00000280224.1	AL008636.1	1018	0.388
ENSG00000279597.1	AL031593.1	865	0.494
ENSG00000264139.1	MIR3667	74	0.5
ENSG00000212939.2	Z97192.1	3894	0.582
ENSG00000213279.2	Z97192.2	2379	0.551
ENSG00000235111.1	Z97192.3	2975	0.485
ENSG00000286393.1	Z97192.4	1837	0.527
ENSG00000226954.1	AL023802.1	3775	0.544
ENSG00000223142.1	RN7SKP252	327	0.502
ENSG00000214727.2	RPL5P35	816	0.442
ENSG00000279345.1	Z98885.3	1757	0.52
ENSG00000236867.1	Z98885.1	465	0.497
ENSG00000229409.1	AL117328.1	162	0.512
ENSG00000277771.1	Metazoa_SRP	265	0.494
ENSG00000279494.1	AL117328.2	1940	0.564
ENSG00000100426.7	ZBED4	6893	0.506
ENSG00000273192.1	AL671710.1	2349	0.555
ENSG00000278869.1	BX539320.1	877	0.616
ENSG00000276753.1	MIR6821	74	0.757
ENSG00000280395.1	AL034546.1	3693	0.402
ENSG00000273188.1	AL022328.3	679	0.568
ENSG00000273253.2	AL022328.4	1001	0.679
ENSG00000272836.1	AL022328.1	478	0.609
ENSG00000273137.1	AL022328.2	640	0.633
ENSG00000227484.1	CR559946.1	531	0.648
ENSG00000279182.1	CR559946.2	991	0.656
ENSG00000272821.1	U62317.1	855	0.614
ENSG00000273272.2	U62317.3	794	0.497
ENSG00000272666.1	KLHDC7B-DT	602	0.472
ENSG00000272940.1	U62317.2	448	0.507
ENSG00000212569.1	AC000050.1	98	0.459
ENSG00000286508.1	AC000050.3	239	0.72
ENSG00000206841.1	RNU6-409P	104	0.365
ENSG00000225929.1	AC000036.1	2030	0.465
ENSG00000254499.1	AC002056.2	284	0.567
ENSG00000213683.4	AC002056.1	760	0.472
ENSG00000228572.7	AL954722.1	259	0.668
ENSG00000226179.6	LINC00685	428	0.533
ENSG00000281849.3	AL732314.6	484	0.62
ENSG00000275287.5	Metazoa_SRP	290	0.531
ENSG00000280767.3	AL732314.4	515	0.616
ENSG00000234958.6	FABP5P13	328	0.46
ENSG00000229232.6	KRT18P53	117	0.547
ENSG00000237531.6	AL672277.1	588	0.459
ENSG00000225661.7	RPL14P5	730	0.503
ENSG00000265658.6	MIR3690	75	0.533
ENSG00000223274.6	RNA5SP498	120	0.442
ENSG00000234622.6	AL683807.2	548	0.524
ENSG00000223571.6	DHRSX-IT1	651	0.453
ENSG00000277120.5	MIR6089	64	0.844
ENSG00000230542.6	LINC00102	1340	0.398
ENSG00000235483.1	GYG2-AS1	515	0.311
ENSG00000229851.1	ARSD-AS1	816	0.475
ENSG00000205667.3	ARSH	2482	0.482
ENSG00000239228.3	RN7SL578P	283	0.562
ENSG00000230249.1	AC112653.1	386	0.422
ENSG00000101825.8	MXRA5	9804	0.503
ENSG00000213487.3	ASS1P4	1234	0.527
ENSG00000212214.1	SNORA48B	135	0.526
ENSG00000207435.1	RNU6-114P	105	0.381
ENSG00000207332.1	RNU6-146P	108	0.472
ENSG00000207320.1	Y_RNA	113	0.434
ENSG00000236188.1	PRKX-AS1	516	0.484
ENSG00000182888.5	AC007685.1	452	0.436
ENSG00000286431.1	BX842570.1	3009	0.457
ENSG00000225722.1	BX890604.1	474	0.46
ENSG00000236513.1	AC074035.1	1184	0.378
ENSG00000235039.1	MTND6P12	522	0.37
ENSG00000226313.1	MTCYBP12	1134	0.389
ENSG00000238193.1	AC112656.1	1415	0.466
ENSG00000201660.1	AC095353.1	130	0.346
ENSG00000252291.1	AC079173.1	106	0.443
ENSG00000265284.1	MIR4770	58	0.448
ENSG00000237730.1	AC078991.1	610	0.543
ENSG00000237490.3	RPS27AP17	455	0.407
ENSG00000228550.1	AC073583.1	400	0.532
ENSG00000264268.1	MIR4767	78	0.821
ENSG00000279682.1	AC120338.1	1541	0.382
ENSG00000274923.1	AC005296.1	209	0.445
ENSG00000207628.3	MIR651	97	0.299
ENSG00000177504.10	VCX2	815	0.578
ENSG00000287171.1	AC006062.1	4076	0.383
ENSG00000225574.1	DRAXINP1	948	0.633
ENSG00000231619.1	AC003685.2	395	0.489
ENSG00000229012.1	AC003685.1	466	0.451
ENSG00000285896.1	AC074281.2	909	0.404
ENSG00000225271.1	AC074281.1	2081	0.501
ENSG00000200852.1	RNA5SP499	119	0.504
ENSG00000219870.2	BRK1P1	222	0.441
ENSG00000228543.1	AC003684.1	1715	0.457
ENSG00000232111.2	AC073488.1	1600	0.461
ENSG00000282306.1	AC073488.7	778	0.477
ENSG00000282501.1	AC073488.9	754	0.472
ENSG00000282358.1	AC073488.8	757	0.481
ENSG00000282668.1	AC073488.10	778	0.474
ENSG00000282299.1	AC073488.5	754	0.481
ENSG00000282697.1	AC073488.11	754	0.479
ENSG00000282222.1	AC073488.4	757	0.476
ENSG00000281955.1	AC073488.3	778	0.476
ENSG00000281941.1	AC073488.2	751	0.467
ENSG00000282300.1	AC073488.6	754	0.471
ENSG00000215319.2	EIF5P1	1231	0.406
ENSG00000230326.1	HMGN1P33	451	0.421
ENSG00000206844.1	Y_RNA	101	0.436
ENSG00000234469.4	CLDN34	995	0.448
ENSG00000225076.1	WWC3-AS1	578	0.464
ENSG00000202469.1	AC002359.1	102	0.412
ENSG00000227042.1	AC003666.1	611	0.462
ENSG00000207202.1	RNU6-800P	103	0.369
ENSG00000207151.1	Y_RNA	102	0.451
ENSG00000278218.1	AC003657.1	186	0.586
ENSG00000275194.1	AC004467.1	330	0.37
ENSG00000263652.1	MIR548AX	73	0.397
ENSG00000232392.1	AC002366.1	1190	0.475
ENSG00000282840.1	AC004554.2	1893	0.449
ENSG00000223418.1	AC004554.1	1468	0.539
ENSG00000206792.1	AC002980.1	103	0.417
ENSG00000206795.1	AC002981.1	113	0.354
ENSG00000223487.1	FRMPD4-AS1	285	0.449
ENSG00000231211.2	RPL17P49	411	0.409
ENSG00000273800.1	AC119619.1	112	0.562
ENSG00000271814.1	RN7SKP290	195	0.574
ENSG00000229083.1	PSMA6P2	686	0.417
ENSG00000230691.1	MRPL35P4	566	0.428
ENSG00000233338.1	TLR8-AS1	1349	0.483
ENSG00000261030.1	AC079171.1	914	0.383
ENSG00000231216.1	GS1-600G8.3	2249	0.467
ENSG00000235592.1	AC004674.1	739	0.507
ENSG00000197582.5	GPX1P1	606	0.637
ENSG00000233357.2	RPL30P15	321	0.399
ENSG00000283493.1	MIR6086	55	0.4
ENSG00000199622.1	RN7SKP20	313	0.482
ENSG00000233535.1	AC003035.2	696	0.466
ENSG00000212663.2	AC003035.1	544	0.463
ENSG00000233247.3	AC002524.1	547	0.433
ENSG00000231066.3	NPM1P9	844	0.414
ENSG00000235929.1	TPT1P14	505	0.384
ENSG00000236929.2	AC112498.1	332	0.428
ENSG00000285602.1	AC097625.1	3666	0.43
ENSG00000225833.1	GS1-594A7.3	574	0.383
ENSG00000237539.1	AC003669.1	611	0.64
ENSG00000279413.1	AC112497.2	639	0.629
ENSG00000200620.1	AC112497.1	139	0.475
ENSG00000281371.1	INE2	1874	0.441
ENSG00000200566.1	RNU5F-7P	115	0.348
ENSG00000226536.1	SETP15	337	0.409
ENSG00000126010.6	GRPR	2417	0.439
ENSG00000215313.3	RPL6P30	862	0.455
ENSG00000235071.1	AC073909.1	999	0.478
ENSG00000239333.3	RN7SL658P	303	0.518
ENSG00000265144.1	MIR548AM	74	0.378
ENSG00000169906.5	S100G	455	0.389
ENSG00000238709.1	RNU7-56P	62	0.387
ENSG00000230180.1	RPL12P49	121	0.463
ENSG00000222736.1	RNU4-6P	122	0.443
ENSG00000223498.1	AL929302.1	871	0.542
ENSG00000199410.1	Y_RNA	103	0.456
ENSG00000201467.1	AL732371.1	132	0.47
ENSG00000214322.3	CBX1P2	458	0.48
ENSG00000214321.3	CBX1P4	457	0.47
ENSG00000238764.1	AL845433.1	104	0.423
ENSG00000265465.1	MIR4768	74	0.432
ENSG00000235834.1	Z93022.1	1554	0.428
ENSG00000230020.1	NHS-AS1	366	0.432
ENSG00000226153.1	Z93242.1	353	0.425
ENSG00000227873.1	Z93242.2	394	0.563
ENSG00000276467.1	Z93929.2	2623	0.541
ENSG00000225066.1	Z93929.1	1475	0.431
ENSG00000225882.1	LINC01456	708	0.479
ENSG00000235211.4	TMSB10P2	131	0.489
ENSG00000207025.1	Y_RNA	102	0.422
ENSG00000236187.1	GJA6P	1042	0.479
ENSG00000237221.1	PPEF1-AS1	430	0.391
ENSG00000196564.4	AL096700.1	744	0.457
ENSG00000224224.1	HAUS1P2	784	0.412
ENSG00000266710.2	RN7SL48P	293	0.536
ENSG00000202144.1	Y_RNA	102	0.461
ENSG00000275800.1	EIF5P2	1035	0.411
ENSG00000206663.1	Y_RNA	102	0.441
ENSG00000264566.3	MIR23C	100	0.45
ENSG00000201882.1	AL732366.2	70	0.4
ENSG00000201592.1	AL732366.1	80	0.438
ENSG00000225037.1	EIF1AX-AS1	378	0.394
ENSG00000283631.1	AL928596.1	632	0.427
ENSG00000283400.1	AL807740.1	567	0.457
ENSG00000252978.1	RN7SKP183	324	0.432
ENSG00000283546.1	BX088723.1	708	0.369
ENSG00000206716.1	RNU6-133P	107	0.402
ENSG00000231913.1	RARRES2P3	473	0.512
ENSG00000185915.5	KLHL34	3641	0.584
ENSG00000275681.1	U73479.1	168	0.476
ENSG00000230797.3	YY2	2754	0.458
ENSG00000206639.1	Y_RNA	102	0.392
ENSG00000271286.1	U73023.1	700	0.44
ENSG00000224204.1	PHEX-AS1	1906	0.425
ENSG00000233067.4	PTCHD1-AS	1443	0.461
ENSG00000175809.6	CBLL2	1549	0.42
ENSG00000231846.1	AC092832.2	389	0.386
ENSG00000224396.1	METTL15P3	1221	0.422
ENSG00000201095.1	RNU6-266P	107	0.364
ENSG00000231011.1	AC092832.1	400	0.417
ENSG00000237019.1	AC004470.1	382	0.408
ENSG00000184735.7	DDX53	3630	0.382
ENSG00000174028.6	FAM3C2	681	0.413
ENSG00000228610.1	PDCL2P1	352	0.344
ENSG00000226774.1	AC073910.1	438	0.416
ENSG00000233785.1	AC131011.1	672	0.5
ENSG00000202272.1	Y_RNA	101	0.386
ENSG00000238103.4	RPL9P7	580	0.433
ENSG00000174010.9	KLHL15	6272	0.372
ENSG00000201407.1	AC079169.1	132	0.439
ENSG00000234230.1	ZFX-AS1	417	0.439
ENSG00000223611.5	SUPT20HL2	2409	0.546
ENSG00000223731.2	SUPT20HL1	2618	0.548
ENSG00000225071.1	AC004552.1	348	0.526
ENSG00000214124.3	SNRPEP9	238	0.433
ENSG00000226222.3	H2BP7	345	0.487
ENSG00000236836.1	PCYT1B-AS1	275	0.44
ENSG00000236487.2	AC079168.1	416	0.418
ENSG00000251869.1	SCARNA23	130	0.346
ENSG00000232472.1	EEF1B2P3	678	0.471
ENSG00000214111.3	AC002504.1	691	0.475
ENSG00000240439.3	RN7SL91P	291	0.529
ENSG00000176812.7	AC112778.1	827	0.526
ENSG00000229310.1	RPP40P1	456	0.368
ENSG00000228519.3	AC097263.1	606	0.507
ENSG00000233403.1	AC121342.1	550	0.411
ENSG00000176774.6	MAGEB18	1812	0.433
ENSG00000232446.1	AC129850.1	508	0.413
ENSG00000232030.3	MAGEB6B	1224	0.51
ENSG00000227511.1	AC005297.1	862	0.415
ENSG00000176746.6	MAGEB6	1949	0.468
ENSG00000232644.1	AC005297.2	606	0.429
ENSG00000188408.5	MAGEB5	1216	0.447
ENSG00000237171.1	AC005297.3	756	0.446
ENSG00000228464.1	AC073614.1	650	0.374
ENSG00000231388.1	AC079178.1	1624	0.516
ENSG00000236160.1	AC005345.1	217	0.3
ENSG00000216938.3	RPL7P58	758	0.414
ENSG00000236683.3	HMGA1P1	1062	0.613
ENSG00000252491.1	RNU1-142P	145	0.407
ENSG00000233807.1	AC097262.1	548	0.38
ENSG00000252486.1	Y_RNA	117	0.376
ENSG00000235642.1	PTP4A1P5	455	0.374
ENSG00000224960.5	PPP4R3C	3135	0.377
ENSG00000223391.2	AC006210.1	111	0.414
ENSG00000238247.2	AC006210.2	1545	0.401
ENSG00000229731.1	AC107613.1	1018	0.513
ENSG00000226199.1	AC112492.2	1030	0.48
ENSG00000232834.1	AC112492.4	352	0.426
ENSG00000228345.2	AC112492.3	1031	0.499
ENSG00000233243.1	AC112492.5	457	0.602
ENSG00000224589.1	AC112492.1	712	0.435
ENSG00000226372.4	DCAF8L1	3458	0.418
ENSG00000277569.1	MIR6134	109	0.486
ENSG00000223742.1	AC112495.1	756	0.435
ENSG00000226436.1	H3P43	405	0.501
ENSG00000201666.1	AC121343.1	70	0.4
ENSG00000237994.1	AC003659.1	465	0.301
ENSG00000201356.1	RNA5SP500	119	0.529
ENSG00000227393.1	AL031575.1	845	0.469
ENSG00000264090.1	MIR4666B	81	0.383
ENSG00000227592.1	PIGFP3	722	0.355
ENSG00000270794.1	AC005185.1	787	0.456
ENSG00000099399.6	MAGEB2	1607	0.46
ENSG00000120289.12	MAGEB4	2188	0.431
ENSG00000276940.1	PLCE1P1	305	0.452
ENSG00000120280.6	CXorf21	1792	0.427
ENSG00000178556.8	CKS1BP6	240	0.475
ENSG00000232368.1	FTLP2	528	0.553
ENSG00000229331.1	GK-IT1	397	0.456
ENSG00000241886.1	AC112496.1	562	0.347
ENSG00000243055.1	GK-AS1	651	0.422
ENSG00000277876.1	AC108359.1	1211	0.381
ENSG00000231542.1	TAB3-AS1	245	0.461
ENSG00000235512.1	TAB3-AS2	292	0.435
ENSG00000132446.7	FTHL17	809	0.587
ENSG00000252903.2	RNU6-894P	105	0.352
ENSG00000285900.1	AC079177.1	2089	0.375
ENSG00000222922.1	RNA5SP501	112	0.536
ENSG00000236285.1	NPM1P8	837	0.413
ENSG00000263600.1	MIR3915	97	0.361
ENSG00000221348.1	MIR548F5	86	0.302
ENSG00000236828.1	DMD-AS3	293	0.341
ENSG00000226781.1	TBCAP1	327	0.413
ENSG00000215310.2	AL050305.1	1230	0.396
ENSG00000287700.1	AL591378.1	2809	0.372
ENSG00000185638.9	FTH1P14	551	0.613
ENSG00000233571.1	AL592043.1	526	0.51
ENSG00000236072.1	AL592043.2	743	0.557
ENSG00000271136.1	AL592504.1	439	0.453
ENSG00000147027.4	TMEM47	4040	0.391
ENSG00000225384.1	AL606662.1	553	0.378
ENSG00000273704.1	AL596245.1	362	0.425
ENSG00000189132.6	FAM47B	2120	0.535
ENSG00000229347.1	AL596268.1	1048	0.487
ENSG00000252411.1	RNU6-1087P	101	0.327
ENSG00000230227.4	SIAH1P1	923	0.453
ENSG00000233663.1	AL161722.1	1032	0.458
ENSG00000271088.1	AL161722.3	2983	0.37
ENSG00000233880.1	AL161722.2	981	0.479
ENSG00000271519.1	AL590065.1	4774	0.401
ENSG00000206733.1	RNU6-641P	107	0.393
ENSG00000229384.2	HMGB1P16	540	0.406
ENSG00000226484.2	AL606516.1	1861	0.401
ENSG00000233921.2	RPS15AP40	391	0.43
ENSG00000286475.1	AL592156.1	1459	0.361
ENSG00000249467.1	H2AL1QP	304	0.549
ENSG00000275314.1	AC006924.1	559	0.397
ENSG00000235510.1	BX842568.4	227	0.634
ENSG00000223723.1	BX842568.2	1230	0.533
ENSG00000231069.1	BX842568.3	571	0.699
ENSG00000198173.5	FAM47C	3299	0.571
ENSG00000243048.3	FTHL18	549	0.616
ENSG00000214071.4	BX842568.1	551	0.595
ENSG00000233810.1	MOB1AP2	614	0.363
ENSG00000250349.3	AF241726.2	954	0.504
ENSG00000241607.1	AC245096.1	546	0.588
ENSG00000219186.2	FTH1P19	528	0.616
ENSG00000234355.3	FTH1P27	551	0.612
ENSG00000174678.9	FAM47DP	3290	0.567
ENSG00000047597.7	XK	5174	0.416
ENSG00000285944.2	H2AL1SP	273	0.524
ENSG00000206983.1	RNU6-49P	107	0.421
ENSG00000259977.1	AL121578.1	710	0.462
ENSG00000224339.1	SC4MOP	892	0.32
ENSG00000187516.7	H2AP	536	0.479
ENSG00000229674.2	H2AL1RP	667	0.531
ENSG00000221466.2	MIR548AJ2	92	0.283
ENSG00000226679.1	AL606748.1	655	0.484
ENSG00000252050.1	AL606748.2	130	0.4
ENSG00000227988.1	TDGF1P1	527	0.486
ENSG00000232370.1	AF241726.1	699	0.465
ENSG00000229735.1	FTLP16	513	0.563
ENSG00000233007.1	UBTFL11	2252	0.473
ENSG00000238606.1	RNU7-7P	62	0.419
ENSG00000235806.1	AF241728.1	1180	0.422
ENSG00000287729.1	AF241728.2	1223	0.418
ENSG00000238123.1	MID1IP1-AS1	376	0.564
ENSG00000207122.1	RNU6-591P	106	0.358
ENSG00000224610.1	AC108879.1	828	0.517
ENSG00000234191.1	LINC01283	786	0.504
ENSG00000263730.1	MIR3937	106	0.547
ENSG00000264618.2	RN7SL732P	300	0.56
ENSG00000228232.1	GAPDHP1	1005	0.538
ENSG00000270759.1	AC091810.1	325	0.52
ENSG00000261435.1	AL592164.1	1976	0.511
ENSG00000263972.1	MIR1587	53	0.604
ENSG00000214047.4	RPS11P7	465	0.518
ENSG00000285709.1	AL592164.2	1330	0.5
ENSG00000223486.1	AC092198.1	2691	0.567
ENSG00000214045.3	AC091807.1	1544	0.58
ENSG00000206677.2	Y_RNA	98	0.429
ENSG00000235685.2	AC092473.1	221	0.321
ENSG00000238730.1	RNU7-164P	62	0.403
ENSG00000287098.1	AC092473.2	583	0.487
ENSG00000238205.3	MPC1L	571	0.555
ENSG00000234636.2	MED14OS	900	0.502
ENSG00000270791.1	DPRXP6	568	0.449
ENSG00000214031.2	AC092474.1	1167	0.491
ENSG00000237661.1	AC092474.2	719	0.565
ENSG00000238222.3	MKRN4P	1521	0.532
ENSG00000232801.1	SDCBPP3	891	0.397
ENSG00000189145.7	AC092268.1	405	0.462
ENSG00000216866.5	RPS2P55	883	0.608
ENSG00000287549.1	AC092268.2	961	0.44
ENSG00000237931.1	CLIC4P3	752	0.428
ENSG00000223714.1	LINC02601	835	0.628
ENSG00000199564.1	RNA5SP502	119	0.487
ENSG00000238426.1	AL391647.2	102	0.441
ENSG00000226641.1	AL391647.1	511	0.601
ENSG00000264573.2	RN7SL15P	301	0.528
ENSG00000225238.1	Z93015.1	390	0.579
ENSG00000233033.1	CASK-AS1	515	0.39
ENSG00000212207.1	RNU6-1321P	107	0.336
ENSG00000217624.2	AL627402.1	735	0.429
ENSG00000242559.3	RN7SL144P	295	0.553
ENSG00000229822.2	AL353691.1	387	0.413
ENSG00000237875.1	AL353691.2	59	0.424
ENSG00000251807.1	RNU6-202P	96	0.448
ENSG00000233103.1	AL133329.1	478	0.431
ENSG00000228847.1	ATP5MC2P4	420	0.564
ENSG00000212560.1	RNU6-630P	106	0.377
ENSG00000228780.2	Z92545.1	234	0.453
ENSG00000206896.1	RNU6-1124P	107	0.421
ENSG00000287223.1	Z94277.1	3855	0.353
ENSG00000102055.7	PPP1R2C	798	0.496
ENSG00000270280.1	AL451086.1	223	0.39
ENSG00000224294.1	PINCR	2228	0.395
ENSG00000237206.1	IMPDH1P4	1534	0.578
ENSG00000285899.1	AL023574.1	941	0.458
ENSG00000231750.3	NANOGP10	895	0.483
ENSG00000214019.2	AL034370.1	1590	0.431
ENSG00000198414.5	TATDN2P1	2331	0.483
ENSG00000214018.3	RRM2P3	1163	0.482
ENSG00000200702.1	Y_RNA	102	0.441
ENSG00000224054.1	AL022163.1	1569	0.484
ENSG00000215035.2	FDPSP5	1057	0.51
ENSG00000233543.1	CHTF8P1	1541	0.575
ENSG00000229168.4	RPL19P20	591	0.499
ENSG00000214016.3	RPSAP61	878	0.523
ENSG00000242065.3	RN7SL291P	289	0.522
ENSG00000189037.8	DUSP21	868	0.507
ENSG00000237782.3	AL020989.1	469	0.586
ENSG00000214282.3	KRT8P14	1442	0.571
ENSG00000204915.3	AC234772.1	937	0.414
ENSG00000207870.1	MIR221	110	0.473
ENSG00000207725.3	MIR222	110	0.509
ENSG00000269902.1	AC234772.2	528	0.294
ENSG00000212347.2	AL031584.1	68	0.309
ENSG00000215286.3	AL031584.2	754	0.444
ENSG00000234613.1	AL031584.3	767	0.439
ENSG00000224701.1	MED28P4	572	0.476
ENSG00000213100.2	KRT18P68	1000	0.57
ENSG00000214009.2	PCNAP3	778	0.441
ENSG00000278838.1	Metazoa_SRP	285	0.484
ENSG00000229145.1	ACTBP1	1113	0.549
ENSG00000286306.1	AL139811.3	598	0.431
ENSG00000231235.1	AL139811.2	1630	0.467
ENSG00000235587.2	GAPDHP65	1006	0.537
ENSG00000224072.1	AL139811.1	2299	0.411
ENSG00000199226.1	RNU6-50P	103	0.34
ENSG00000277721.1	Metazoa_SRP	254	0.512
ENSG00000270499.1	MKI67P1	1460	0.48
ENSG00000147119.4	CHST7	2396	0.62
ENSG00000213997.3	PGAM1P7	737	0.532
ENSG00000226048.1	YBX1P8	943	0.512
ENSG00000215284.2	AL512633.1	655	0.45
ENSG00000102218.6	RP2	3700	0.352
ENSG00000206685.1	RNU6-1189P	107	0.439
ENSG00000201659.1	RNU12-2P	156	0.474
ENSG00000237351.1	AL513366.1	1248	0.558
ENSG00000224975.1	INE1	945	0.524
ENSG00000237623.1	AL591503.3	635	0.554
ENSG00000266158.2	RN7SL785P	253	0.549
ENSG00000203402.2	AL591503.1	477	0.478
ENSG00000147117.8	ZNF157	2516	0.435
ENSG00000221459.1	SNORA11C	129	0.512
ENSG00000232009.1	AL591503.2	1005	0.396
ENSG00000226556.2	NPM1P49	714	0.406
ENSG00000277605.1	AL590283.1	331	0.544
ENSG00000235636.1	NUS1P1	882	0.54
ENSG00000283743.2	Z84466.1	3761	0.564
ENSG00000263858.1	MIR4769	77	0.558
ENSG00000224656.1	AL009172.1	1098	0.43
ENSG00000229968.1	AL022578.1	1433	0.403
ENSG00000188459.4	WASF4P	1494	0.524
ENSG00000224401.2	RPL7P57	740	0.459
ENSG00000277541.1	ZNF630-AS1	397	0.413
ENSG00000287757.1	AC244636.3	1268	0.47
ENSG00000171478.7	SPACA5B	595	0.486
ENSG00000230241.1	AC244636.1	228	0.478
ENSG00000233139.1	AC244636.2	1669	0.448
ENSG00000201517.1	RNU6-707P	95	0.474
ENSG00000225198.1	SSXP3	1300	0.467
ENSG00000238032.1	AC245047.7	293	0.468
ENSG00000234780.1	AC245047.5	556	0.432
ENSG00000252856.1	RNA5SP503	117	0.393
ENSG00000204368.6	AC245047.1	873	0.471
ENSG00000231568.1	AC245047.3	127	0.472
ENSG00000229662.2	AC245047.2	530	0.443
ENSG00000126752.7	SSX1	1298	0.463
ENSG00000232813.1	AC245047.4	144	0.451
ENSG00000241207.1	AC245047.8	284	0.433
ENSG00000237345.1	AC245047.6	617	0.436
ENSG00000234391.1	AL606490.6	523	0.44
ENSG00000227302.1	SSXP9	292	0.49
ENSG00000230100.1	AL606490.3	270	0.448
ENSG00000270747.1	AL606490.9	271	0.465
ENSG00000225055.1	AL606490.1	765	0.437
ENSG00000234448.1	AL606490.7	191	0.429
ENSG00000231603.1	AL606490.5	760	0.437
ENSG00000231489.1	AL606490.4	127	0.465
ENSG00000235350.1	AL606490.8	319	0.476
ENSG00000226971.1	AL606490.2	1330	0.438
ENSG00000224292.1	AF196972.1	653	0.406
ENSG00000286268.1	AF196969.1	1426	0.494
ENSG00000276823.1	AF196972.2	327	0.474
ENSG00000204620.3	AC115618.1	549	0.588
ENSG00000228343.1	AC115618.2	450	0.436
ENSG00000279528.1	AC115618.3	425	0.421
ENSG00000220125.1	MRPL32P1	247	0.482
ENSG00000231725.1	VN1R110P	971	0.41
ENSG00000232828.1	AC231533.1	925	0.588
ENSG00000206723.1	RNU6-1056P	107	0.383
ENSG00000207367.1	RNU6-29P	107	0.43
ENSG00000279155.1	AC233300.1	817	0.534
ENSG00000223309.1	RNU6-722P	104	0.394
ENSG00000288053.1	AC231657.3	1432	0.602
ENSG00000206936.1	RNU4-52P	138	0.442
ENSG00000068394.11	GPKOW	1658	0.572
ENSG00000265033.2	RN7SL262P	294	0.534
ENSG00000280116.2	AC231657.2	255	0.694
