Geneid	syn	length	gc
ENST00000490038.1	ENSG00000152527.14	PLEKHH2	632	0.415
ENST00000462426.1	ENSG00000138036.18	DYNC2LI1	713	0.438
ENST00000644754.1	ENSG00000138075.14	ABCG5	2896	0.521
ENST00000643284.1	ENSG00000143921.9	ABCG8	3058	0.479
ENST00000447246.1	ENSG00000138095.19	LRPPRC	1209	0.469
ENST00000488866.1	ENSG00000138032.21	PPM1B	981	0.341
ENST00000427285.1	ENSG00000138079.14	SLC3A1	574	0.401
ENST00000438314.1	ENSG00000138078.16	PREPL	660	0.408
ENST00000613618.1	ENSG00000143919.15	CAMKMT	594	0.433
ENST00000560399.11	ENSG00000259439.2	LINC01833	548	0.432
ENST00000419364.11	ENSG00000236502.1	SIX3-AS1	844	0.496
ENST00000454673.1	ENSG00000205054.8	LINC01121	2226	0.502
ENST00000493649.1	ENSG00000068784.13	SRBD1	655	0.408
ENST00000394874.1	ENSG00000171132.14	PRKCE	996	0.483
ENST00000483692.1	ENSG00000116016.14	EPAS1	657	0.592
ENST00000669411.1	ENSG00000228100.2	LINC01820	1192	0.513
ENST00000642724.1	ENSG00000187600.14	LINC02583	574	0.395
ENST00000522219.1	ENSG00000250565.7	ATP6V1E2	609	0.448
ENST00000473428.1	ENSG00000119729.12	RHOQ	757	0.39
ENST00000495933.1	ENSG00000151665.13	PIGF	3454	0.407
ENST00000486447.11	ENSG00000119878.6	CRIPT	1724	0.446
ENST00000650611.11	ENSG00000222005.9	LINC01118	1947	0.518
ENST00000568862.1	ENSG00000171150.9	SOCS5	2463	0.463
ENST00000653090.1	ENSG00000239332.6	LINC01119	2350	0.479
ENST00000649435.1	ENSG00000180398.13	MCFD2	3978	0.442
ENST00000651415.1	ENSG00000068724.17	TTC7A	3557	0.574
ENST00000482548.1	ENSG00000239605.11	STPG4	771	0.534
ENST00000670593.1	ENSG00000143933.19	CALM2	1926	0.376
ENST00000419035.1	ENSG00000234690.7	EPCAM-DT	1892	0.438
ENST00000666175.1	ENSG00000226087.2	AC073283.2	2252	0.495
ENST00000490733.1	ENSG00000119888.11	EPCAM	752	0.407
ENST00000645506.1	ENSG00000095002.15	MSH2	7893	0.45
ENST00000493527.1	ENSG00000184261.5	KCNK12	833	0.623
ENST00000648301.11	ENSG00000235760.4	MSH2-OT1	899	0.536
ENST00000652107.1	ENSG00000116062.17	MSH6	7669	0.402
ENST00000470899.1	ENSG00000138081.21	FBXO11	908	0.357
ENST00000417692.1	ENSG00000233230.1	AC079807.1	656	0.447
ENST00000658896.1	ENSG00000230773.9	AC092650.1	1672	0.399
ENST00000616844.1	ENSG00000170802.16	FOXN2	1414	0.412
ENST00000476199.1	ENSG00000162869.16	PPP1R21	1075	0.383
ENST00000406226.1	ENSG00000243244.7	STON1	5614	0.405
ENST00000470560.1	ENSG00000068781.21	STON1-GTF2A1L	315	0.457
ENST00000468326.1	ENSG00000242441.8	GTF2A1L	600	0.455
ENST00000477576.1	ENSG00000138039.15	LHCGR	381	0.472
ENST00000419927.1	ENSG00000170820.12	FSHR	936	0.428
ENST00000635306.11	ENSG00000282998.1	AC009975.2	1429	0.458
ENST00000675235.1	ENSG00000179915.24	NRXN1	5861	0.373
ENST00000668945.11	ENSG00000228033.6	AC010967.1	719	0.377
ENST00000470707.1	ENSG00000115239.24	ASB3	764	0.403
ENST00000494373.11	ENSG00000068912.14	ERLEC1	485	0.614
ENST00000481518.1	ENSG00000068878.15	PSME4	886	0.464
ENST00000606865.1	ENSG00000170634.13	ACYP2	674	0.383
ENST00000615983.1	ENSG00000177994.16	C2orf73	1376	0.377
ENST00000467371.1	ENSG00000115306.16	SPTBN1	3332	0.445
ENST00000626206.1	ENSG00000238018.2	AC093110.1	854	0.486
ENST00000673912.11	ENSG00000214595.12	EML6	9947	0.483
ENST00000491592.1	ENSG00000115310.18	RTN4	860	0.365
ENST00000451916.1	ENSG00000162994.16	CLHC1	616	0.398
ENST00000495843.1	ENSG00000143947.14	RPS27A	1159	0.435
ENST00000412530.1	ENSG00000085760.15	MTIF2	580	0.507
ENST00000563365.11	ENSG00000162997.15	PRORSD1P	2154	0.451
ENST00000670067.1	ENSG00000240401.9	AC012358.3	1220	0.361
ENST00000643413.1	ENSG00000115355.17	CCDC88A	8881	0.359
ENST00000490934.1	ENSG00000163001.12	CFAP36	712	0.417
ENST00000612688.1	ENSG00000275052.5	PPP4R3B	2981	0.449
ENST00000481066.1	ENSG00000138035.15	PNPT1	1281	0.386
ENST00000635671.1	ENSG00000115380.20	EFEMP1	1809	0.454
ENST00000668950.1	ENSG00000233251.8	AC007743.1	3495	0.426
ENST00000655725.1	ENSG00000285755.2	AC132153.1	2219	0.386
ENST00000603793.1	ENSG00000271615.1	ACTG1P22	1099	0.519
ENST00000648897.11	ENSG00000028116.18	VRK2	2657	0.407
ENST00000470506.1	ENSG00000115392.12	FANCL	733	0.344
ENST00000655335.11	ENSG00000225226.2	LINC01795	1469	0.447
ENST00000656381.1	ENSG00000233723.9	LINC01122	2587	0.433
ENST00000650011.1	ENSG00000271955.2	AC007100.1	849	0.449
ENST00000668796.1	ENSG00000233891.8	AC007179.2	1835	0.407
ENST00000648110.11	ENSG00000231815.2	AC007179.1	1109	0.384
ENST00000647917.11	ENSG00000228590.2	MIR4432HG	5176	0.46
ENST00000642180.1	ENSG00000119866.22	BCL11A	6003	0.401
ENST00000412217.1	ENSG00000115421.13	PAPOLG	6074	0.375
ENST00000452343.1	ENSG00000228414.7	LINC01185	1705	0.479
ENST00000642725.1	ENSG00000162924.15	REL	2156	0.39
ENST00000602599.11	ENSG00000162927.14	PUS10	6366	0.345
ENST00000401576.1	ENSG00000162928.9	PEX13	1108	0.426
ENST00000612149.1	ENSG00000162929.14	KIAA1841	4202	0.367
ENST00000417691.1	ENSG00000212978.6	AC016747.1	892	0.522
ENST00000432605.1	ENSG00000237651.6	C2orf74	887	0.382
ENST00000605902.11	ENSG00000271889.1	AC016747.2	364	0.497
ENST00000643913.1	ENSG00000173209.23	AHSA2P	4339	0.447
ENST00000453734.1	ENSG00000115464.15	USP34	2708	0.37
ENST00000664869.1	ENSG00000270820.6	AC016727.1	1738	0.459
ENST00000481214.1	ENSG00000082898.17	XPO1	720	0.356
ENST00000496369.1	ENSG00000170264.13	FAM161A	699	0.386
ENST00000461370.1	ENSG00000115484.15	CCT4	388	0.479
ENST00000427417.1	ENSG00000173163.10	COMMD1	785	0.522
ENST00000421323.1	ENSG00000229839.6	AC018462.1	589	0.435
ENST00000405767.1	ENSG00000170340.11	B3GNT2	2436	0.394
ENST00000494919.1	ENSG00000186889.10	TMEM17	2460	0.439
ENST00000664749.11	ENSG00000226622.6	AC092155.1	3548	0.466
ENST00000494958.1	ENSG00000115504.15	EHBP1	1127	0.415
ENST00000660923.1	ENSG00000231609.7	AC007098.1	875	0.391
ENST00000477348.1	ENSG00000115507.10	OTX1	624	0.622
ENST00000491724.11	ENSG00000242412.1	DBIL5P2	1692	0.452
ENST00000493315.1	ENSG00000143951.16	WDPCP	1476	0.411
ENST00000484538.1	ENSG00000014641.21	MDH1	910	0.338
ENST00000449995.11	ENSG00000229920.2	RPS4XP5	1334	0.369
ENST00000613823.1	ENSG00000169764.15	UGP2	1858	0.386
ENST00000416400.1	ENSG00000143952.20	VPS54	1277	0.39
ENST00000494203.1	ENSG00000197329.12	PELI1	602	0.6
ENST00000675176.1	ENSG00000225889.9	AC012368.1	2844	0.447
ENST00000431020.11	ENSG00000230923.2	LINC00309	3307	0.409
ENST00000662477.11	ENSG00000238012.2	AC114752.1	528	0.532
ENST00000669208.1	ENSG00000223935.3	LGALSL-DT	2507	0.415
ENST00000462737.1	ENSG00000119862.13	LGALSL	469	0.554
ENST00000422803.2	ENSG00000119844.15	AFTPH	1525	0.368
ENST00000417695.2	ENSG00000233694.6	LINC02579	1822	0.527
ENST00000608423.1	ENSG00000179833.4	SERTAD2	318	0.623
ENST00000449259.11	ENSG00000237638.2	LINC02245	2928	0.49
ENST00000480594.1	ENSG00000115902.11	SLC1A4	5789	0.465
ENST00000622718.1	ENSG00000232613.6	LINC02576	1018	0.445
ENST00000537589.1	ENSG00000011523.14	CEP68	3768	0.506
ENST00000649427.11	ENSG00000138069.18	RAB1A	1798	0.507
ENST00000650256.11	ENSG00000273763.2	AC007318.1	2124	0.422
ENST00000542850.2	ENSG00000138071.14	ACTR2	1429	0.442
ENST00000474228.1	ENSG00000198369.10	SPRED2	876	0.506
ENST00000652861.1	ENSG00000204929.13	AC007389.1	3085	0.435
ENST00000653527.1	ENSG00000234255.9	AC012370.2	1378	0.464
ENST00000412313.11	ENSG00000225815.2	AC092669.1	1024	0.428
ENST00000437869.1	ENSG00000143995.20	MEIS1	363	0.46
ENST00000666153.1	ENSG00000230749.5	MEIS1-AS2	1813	0.439
ENST00000653254.1	ENSG00000232046.7	LINC01798	1537	0.408
ENST00000660433.11	ENSG00000237179.6	LINC01797	1241	0.382
ENST00000664251.1	ENSG00000230525.6	LINC01799	1061	0.405
ENST00000657551.1	ENSG00000235885.8	LINC01828	4482	0.382
ENST00000657304.1	ENSG00000236780.7	LINC01829	1230	0.353
ENST00000645739.11	ENSG00000143971.9	ETAA1	3110	0.369
ENST00000657087.1	ENSG00000224173.2	LINC02831	1521	0.409
ENST00000485709.1	ENSG00000197223.11	C1D	842	0.342
ENST00000409164.1	ENSG00000243667.7	WDR92	1517	0.421
ENST00000430742.1	ENSG00000115946.8	PNO1	616	0.497
ENST00000409377.1	ENSG00000221823.11	PPP3R1	684	0.389
ENST00000409862.1	ENSG00000119865.9	CNRIP1	1748	0.437
ENST00000474788.1	ENSG00000115956.10	PLEK	742	0.477
ENST00000627740.1	ENSG00000169621.10	APLF	2180	0.506
ENST00000479844.1	ENSG00000163219.12	ARHGAP25	1933	0.476
ENST00000655209.11	ENSG00000228329.3	LINC01890	1310	0.461
ENST00000457602.1	ENSG00000237576.2	LINC01888	574	0.415
ENST00000481498.1	ENSG00000183607.10	GKN2	1498	0.39
ENST00000478888.1	ENSG00000169605.7	GKN1	581	0.368
ENST00000463335.1	ENSG00000169604.19	ANTXR1	1437	0.523
ENST00000674507.1	ENSG00000198380.13	GFPT1	5906	0.388
ENST00000438184.2	ENSG00000169599.13	NFU1	659	0.367
ENST00000489327.1	ENSG00000115977.19	AAK1	1432	0.489
ENST00000471395.1	ENSG00000196975.16	ANXA4	4418	0.389
ENST00000471404.1	ENSG00000087338.5	GMCL1	842	0.335
ENST00000487029.1	ENSG00000124380.11	SNRNP27	604	0.333
ENST00000465446.1	ENSG00000059728.11	MXD1	490	0.431
ENST00000666075.1	ENSG00000179818.14	PCBP1-AS1	3908	0.463
ENST00000420306.1	ENSG00000115998.7	C2orf42	2193	0.466
ENST00000474699.1	ENSG00000116001.17	TIA1	686	0.335
ENST00000451279.1	ENSG00000116005.12	PCYOX1	648	0.472
ENST00000429728.1	ENSG00000143977.14	SNRPG	566	0.403
ENST00000460307.1	ENSG00000035141.8	FAM136A	2398	0.478
ENST00000474101.1	ENSG00000163235.16	TGFA	147	0.714
ENST00000473232.1	ENSG00000075340.23	ADD2	582	0.57
ENST00000426626.1	ENSG00000152672.8	CLEC4F	2012	0.487
ENST00000646783.1	ENSG00000116035.4	VAX2	1200	0.584
ENST00000463380.1	ENSG00000116039.13	ATP6V1B1	574	0.547
ENST00000453130.1	ENSG00000258881.6	AC007040.2	423	0.513
ENST00000422761.1	ENSG00000239322.1	ATP6V1B1-AS1	1129	0.532
ENST00000496088.1	ENSG00000144031.12	ANKRD53	565	0.664
ENST00000478068.1	ENSG00000144043.12	TEX261	3579	0.518
ENST00000642062.11	ENSG00000205847.6	OR7E91P	1198	0.509
ENST00000478659.1	ENSG00000124357.13	NAGK	677	0.527
ENST00000486135.1	ENSG00000124370.11	MCEE	499	0.497
ENST00000493360.1	ENSG00000124383.9	MPHOSPH10	1584	0.393
ENST00000486494.1	ENSG00000075292.19	ZNF638	973	0.322
ENST00000410041.1	ENSG00000135636.14	DYSF	6594	0.582
ENST00000412253.1	ENSG00000003137.8	CYP26B1	4025	0.562
ENST00000410104.1	ENSG00000144036.16	EXOC6B	5795	0.366
ENST00000498749.11	ENSG00000116096.6	SPR	947	0.635
ENST00000616281.1	ENSG00000135638.14	EMX1	2900	0.573
ENST00000488839.1	ENSG00000144040.13	SFXN5	671	0.446
ENST00000479196.1	ENSG00000135631.17	RAB11FIP5	605	0.636
ENST00000610134.1	ENSG00000272702.1	AC010913.1	2744	0.503
ENST00000474652.1	ENSG00000135632.12	SMYD5	753	0.566
ENST00000480093.1	ENSG00000135617.4	PRADC1	600	0.587
ENST00000488856.1	ENSG00000135624.16	CCT7	612	0.446
ENST00000520186.1	ENSG00000163013.11	FBXO41	817	0.591
ENST00000545030.1	ENSG00000135625.8	EGR4	2372	0.661
ENST00000651434.1	ENSG00000116127.19	ALMS1	4537	0.439
ENST00000652439.11	ENSG00000163016.10	ALMS1P1	3835	0.445
ENST00000485758.1	ENSG00000144034.16	TPRKB	730	0.396
ENST00000452812.1	ENSG00000144048.10	DUSP11	672	0.39
ENST00000486458.1	ENSG00000124356.16	STAMBP	1012	0.418
ENST00000409624.1	ENSG00000163017.14	ACTG2	2064	0.526
ENST00000462685.1	ENSG00000114956.20	DGUOK	715	0.519
ENST00000667561.11	ENSG00000237883.2	DGUOK-AS1	868	0.468
ENST00000496886.1	ENSG00000187605.15	TET3	710	0.499
ENST00000652224.11	ENSG00000217702.3	AC073263.1	517	0.47
ENST00000484655.1	ENSG00000163170.12	BOLA3	2982	0.529
ENST00000656407.1	ENSG00000225439.3	BOLA3-AS1	3520	0.44
ENST00000463975.1	ENSG00000114978.18	MOB1A	1799	0.421
ENST00000624449.11	ENSG00000279201.1	AC073263.3	858	0.451
ENST00000409601.1	ENSG00000065911.12	MTHFD2	1865	0.417
ENST00000432728.1	ENSG00000188687.17	SLC4A5	905	0.536
ENST00000633691.1	ENSG00000204843.12	DCTN1	4160	0.578
ENST00000664266.11	ENSG00000237737.6	DCTN1-AS1	2371	0.41
ENST00000640868.1	ENSG00000284308.1	C2orf81	2407	0.618
ENST00000482605.1	ENSG00000005448.17	WDR54	626	0.54
ENST00000472518.1	ENSG00000114993.17	RTKN	1105	0.521
ENST00000469849.1	ENSG00000115274.15	INO80B	689	0.649
ENST00000441673.2	ENSG00000274049.4	INO80B-WBP1	1668	0.595
ENST00000428943.1	ENSG00000239779.7	WBP1	989	0.603
ENST00000648768.1	ENSG00000115275.14	MOGS	2862	0.609
ENST00000468875.1	ENSG00000204822.7	MRPL53	574	0.584
ENST00000473278.1	ENSG00000135637.14	CCDC142	810	0.588
ENST00000463189.1	ENSG00000115282.21	TTC31	894	0.578
ENST00000479098.1	ENSG00000179528.16	LBX2	412	0.595
ENST00000603175.11	ENSG00000257702.3	LBX2-AS1	2083	0.607
ENST00000496911.1	ENSG00000115289.14	PCGF1	837	0.547
ENST00000621092.1	ENSG00000115297.11	TLX2	1452	0.661
ENST00000473508.1	ENSG00000144045.14	DQX1	2136	0.557
ENST00000486234.1	ENSG00000115307.17	AUP1	984	0.553
ENST00000437202.1	ENSG00000115317.12	HTRA2	1479	0.578
ENST00000413469.1	ENSG00000115318.12	LOXL3	1001	0.634
ENST00000464613.1	ENSG00000115325.13	DOK1	1807	0.61
ENST00000478437.1	ENSG00000159374.17	M1AP	584	0.42
ENST00000473350.1	ENSG00000135622.13	SEMA4F	772	0.585
ENST00000674157.11	ENSG00000287687.2	AC007387.2	1361	0.516
ENST00000409174.1	ENSG00000159399.10	HK2	5278	0.497
ENST00000377469.1	ENSG00000204792.2	LINC01291	3662	0.449
ENST00000473023.1	ENSG00000115350.12	POLE4	357	0.465
ENST00000497764.1	ENSG00000115353.11	TACR1	327	0.508
ENST00000410010.1	ENSG00000115363.14	EVA1A	696	0.542
ENST00000476622.1	ENSG00000115364.14	MRPL19	744	0.497
ENST00000470503.1	ENSG00000005436.14	GCFC2	1066	0.463
ENST00000654219.1	ENSG00000287172.1	AC073091.1	2438	0.399
ENST00000409282.1	ENSG00000176204.13	LRRTM4	2451	0.406
ENST00000667782.11	ENSG00000227088.2	AC012494.1	1159	0.374
ENST00000422418.11	ENSG00000237077.1	RPL38P2	418	0.383
ENST00000661594.1	ENSG00000233605.3	LINC01851	701	0.33
ENST00000654589.1	ENSG00000229494.2	AC012494.2	1386	0.481
ENST00000490944.1	ENSG00000143954.13	REG3G	966	0.512
ENST00000476554.1	ENSG00000172023.8	REG1B	1225	0.446
ENST00000488524.11	ENSG00000115386.6	REG1A	901	0.499
ENST00000443710.1	ENSG00000204787.8	REG1CP	562	0.472
ENST00000464746.1	ENSG00000172016.16	REG3A	585	0.482
ENST00000497804.1	ENSG00000066032.18	CTNNA2	595	0.407
ENST00000668932.11	ENSG00000229385.2	CTNNA2-AS1	1885	0.414
ENST00000433224.1	ENSG00000162951.11	LRRTM1	4023	0.53
ENST00000596783.1	ENSG00000237031.7	AC008067.1	639	0.347
ENST00000641468.1	ENSG00000235519.3	LINC01815	1409	0.494
ENST00000651910.11	ENSG00000237498.3	AC010105.1	1133	0.396
ENST00000443452.1	ENSG00000182814.7	FUNDC2P2	493	0.499
ENST00000484365.1	ENSG00000163541.12	SUCLG1	1765	0.403
ENST00000494025.1	ENSG00000115423.19	DNAH6	2065	0.355
ENST00000409133.1	ENSG00000186854.11	TRABD2A	1554	0.535
ENST00000671359.11	ENSG00000287625.1	AC022210.1	2153	0.529
ENST00000456682.11	ENSG00000176407.18	KCMF1	661	0.643
ENST00000567718.1	ENSG00000260840.2	LINC01964	3137	0.485
ENST00000490744.1	ENSG00000152284.5	TCF7L1	715	0.552
ENST00000444342.2	ENSG00000152291.14	TGOLN2	1861	0.533
ENST00000449375.1	ENSG00000042445.14	RETSAT	1759	0.542
ENST00000488150.1	ENSG00000115459.18	ELMOD3	2083	0.509
ENST00000409275.1	ENSG00000042493.16	CAPG	835	0.613
ENST00000650829.11	ENSG00000286011.1	AC062037.3	1063	0.52
ENST00000651736.1	ENSG00000152292.17	SH2D6	1551	0.609
ENST00000409017.1	ENSG00000168906.13	MAT2A	1927	0.476
ENST00000473665.1	ENSG00000115486.12	GGCX	869	0.533
ENST00000409760.1	ENSG00000118640.11	VAMP8	805	0.528
ENST00000462451.1	ENSG00000168899.5	VAMP5	564	0.578
ENST00000461845.11	ENSG00000168894.10	RNF181	623	0.559
ENST00000409668.1	ENSG00000168890.14	TMEM150A	1776	0.596
ENST00000465514.1	ENSG00000168883.20	USP39	660	0.498
ENST00000423181.1	ENSG00000168887.11	C2orf68	976	0.575
ENST00000494165.1	ENSG00000168878.19	SFTPB	532	0.645
ENST00000491234.1	ENSG00000115523.17	GNLY	962	0.531
ENST00000489682.1	ENSG00000168874.13	ATOH8	1288	0.588
ENST00000639867.1	ENSG00000115525.18	ST3GAL5	6180	0.442
ENST00000665352.11	ENSG00000232504.5	ST3GAL5-AS1	1068	0.493
ENST00000409681.1	ENSG00000068654.16	POLR1A	6454	0.533
ENST00000480102.1	ENSG00000132300.19	PTCD3	589	0.411
ENST00000486633.1	ENSG00000132305.20	IMMT	631	0.485
ENST00000409180.1	ENSG00000132313.15	MRPL35	651	0.456
ENST00000646181.1	ENSG00000068615.19	REEP1	3328	0.411
ENST00000470160.1	ENSG00000115548.17	KDM3A	2955	0.414
ENST00000494623.1	ENSG00000115561.16	CHMP3	2724	0.391
ENST00000440757.2	ENSG00000249884.8	RNF103-CHMP3	805	0.532
ENST00000426549.1	ENSG00000228363.2	AC015971.1	1948	0.375
ENST00000472030.1	ENSG00000239305.7	RNF103	4560	0.392
ENST00000471113.1	ENSG00000153561.13	RMND5A	555	0.384
ENST00000409781.1	ENSG00000153563.16	CD8A	597	0.625
ENST00000431506.3	ENSG00000172116.23	CD8B	692	0.594
ENST00000426186.2	ENSG00000233673.7	ANAPC1P1	2145	0.432
ENST00000641458.1	ENSG00000187627.16	RGPD1	5271	0.404
ENST00000467745.1	ENSG00000183281.14	PLGLB1	574	0.387
ENST00000628090.1	ENSG00000280721.1	LINC01943	926	0.511
ENST00000642451.1	ENSG00000222041.11	CYTOR	7512	0.419
ENST00000646855.1	ENSG00000284879.1	AC133644.2	3525	0.457
ENST00000465361.1	ENSG00000125551.19	PLGLB2	2077	0.382
ENST00000638730.1	ENSG00000185304.15	RGPD2	5306	0.406
ENST00000662952.1	ENSG00000287670.1	AC108479.1	939	0.44
ENST00000672766.1	ENSG00000172086.9	KRCC1	1602	0.381
ENST00000438570.1	ENSG00000115593.15	SMYD1	680	0.472
ENST00000495375.1	ENSG00000163586.10	FABP1	2084	0.473
ENST00000674282.1	ENSG00000144115.17	THNSL2	4580	0.541
ENST00000652099.1	ENSG00000172071.14	EIF2AK3	4346	0.438
ENST00000606164.1	ENSG00000234028.3	EIF2AK3-DT	3651	0.419
ENST00000454490.1	ENSG00000230006.7	ANKRD36BP2	2110	0.345
ENST00000635781.1	ENSG00000283270.1	AC244205.2	342	0.491
ENST00000473726.1	ENSG00000242076.2	IGKV1-33	382	0.508
ENST00000620613.1	ENSG00000273962.1	IGKV2-40	314	0.532
ENST00000636531.11	ENSG00000283196.2	LSP1P5	1196	0.506
ENST00000560045.1	ENSG00000251039.2	IGKV2D-40	312	0.532
ENST00000611734.1	ENSG00000239975.2	IGKV1D-33	324	0.466
ENST00000491977.11	ENSG00000243264.2	IGKV2D-29	390	0.528
ENST00000558026.1	ENSG00000242534.2	IGKV2D-28	306	0.526
ENST00000608531.1	ENSG00000143429.10	LSP1P4	582	0.503
ENST00000445955.1	ENSG00000230572.5	AC027612.2	1199	0.452
ENST00000606405.1	ENSG00000214329.7	SLC9B1P2	342	0.424
ENST00000651585.11	ENSG00000286156.1	AC026273.1	1293	0.428
ENST00000562856.1	ENSG00000261522.5	AL845331.2	261	0.487
ENST00000590226.1	ENSG00000229089.8	ANKRD20A8P	5589	0.33
ENST00000582835.1	ENSG00000259848.9	AC097374.1	3329	0.536
ENST00000468063.1	ENSG00000163060.8	TEKT4	2212	0.626
ENST00000489399.11	ENSG00000172005.11	MAL	547	0.541
ENST00000475040.1	ENSG00000144029.12	MRPS5	713	0.442
ENST00000496060.1	ENSG00000144026.12	ZNF514	5593	0.422
ENST00000611463.1	ENSG00000275111.5	ZNF2	3737	0.474
ENST00000614286.1	ENSG00000233757.6	AC092835.1	475	0.564
ENST00000462029.1	ENSG00000155066.16	PROM2	574	0.622
ENST00000475491.1	ENSG00000115041.13	KCNIP3	3658	0.593
ENST00000463940.1	ENSG00000115042.10	FAHD2A	953	0.505
ENST00000639673.11	ENSG00000144010.9	TRIM43B	1668	0.442
ENST00000608013.1	ENSG00000229689.3	AC009237.3	3042	0.538
ENST00000658646.1	ENSG00000235584.3	AC008268.1	1416	0.494
ENST00000444924.1	ENSG00000237510.7	GPAT2P1	1672	0.623
ENST00000663557.1	ENSG00000232931.6	LINC00342	4643	0.393
ENST00000619511.1	ENSG00000174501.14	ANKRD36C	737	0.471
ENST00000427863.1	ENSG00000231584.8	FAHD2CP	900	0.556
ENST00000482704.1	ENSG00000186281.12	GPAT2	4407	0.601
ENST00000470582.1	ENSG00000188886.3	ASTL	640	0.597
ENST00000488952.1	ENSG00000158050.5	DUSP2	773	0.62
ENST00000479456.1	ENSG00000084090.13	STARD7	2949	0.442
ENST00000665242.1	ENSG00000204685.7	STARD7-AS1	3637	0.542
ENST00000432959.1	ENSG00000135956.9	TMEM127	3099	0.569
ENST00000491394.1	ENSG00000144021.3	CIAO1	748	0.618
ENST00000652267.1	ENSG00000144028.15	SNRNP200	4467	0.518
ENST00000536814.1	ENSG00000198885.9	ITPRIPL1	1947	0.568
ENST00000477409.1	ENSG00000121152.10	NCAPH	1573	0.505
ENST00000435380.3	ENSG00000163121.10	NEURL3	1675	0.597
ENST00000497920.1	ENSG00000196843.17	ARID5A	2357	0.639
ENST00000670907.1	ENSG00000114982.19	KANSL3	5310	0.523
ENST00000641731.1	ENSG00000249715.12	FER1L5	6294	0.556
ENST00000480869.1	ENSG00000114988.12	LMAN2L	569	0.471
ENST00000493384.1	ENSG00000158158.12	CNNM4	589	0.567
ENST00000494595.1	ENSG00000168763.16	CNNM3	400	0.573
ENST00000462692.1	ENSG00000163126.15	ANKRD23	857	0.587
ENST00000443120.51	ENSG00000213337.9	ANKRD39	4965	0.562
ENST00000467747.1	ENSG00000168758.11	SEMA4C	3371	0.568
ENST00000494172.1	ENSG00000168754.15	FAM178B	592	0.627
ENST00000661235.11	ENSG00000286654.1	AC092636.1	1743	0.54
ENST00000483657.1	ENSG00000144199.12	FAHD2B	956	0.54
ENST00000652721.1	ENSG00000135976.20	ANKRD36	7623	0.421
ENST00000656264.11	ENSG00000277701.5	AC159540.2	3870	0.401
ENST00000653793.1	ENSG00000230606.11	AC092683.1	2975	0.397
ENST00000618807.1	ENSG00000278766.2	AC092683.2	788	0.444
ENST00000615794.1	ENSG00000196912.12	ANKRD36B	258	0.31
ENST00000494306.1	ENSG00000135940.7	COX5B	738	0.53
ENST00000451664.1	ENSG00000115073.8	ACTR1B	1151	0.606
ENST00000609004.1	ENSG00000228486.10	C2orf92	1031	0.502
ENST00000495754.1	ENSG00000115085.14	ZAP70	675	0.627
ENST00000480724.1	ENSG00000075568.17	TMEM131	637	0.378
ENST00000614454.1	ENSG00000168658.19	VWA3B	1542	0.499
ENST00000454230.1	ENSG00000222000.7	AC092675.1	538	0.504
ENST00000409937.1	ENSG00000144191.12	CNGA3	2615	0.537
ENST00000523221.1	ENSG00000040933.16	INPP4A	2934	0.548
ENST00000480666.1	ENSG00000183513.9	COA5	958	0.362
ENST00000423713.1	ENSG00000115446.12	UNC50	489	0.333
ENST00000409391.1	ENSG00000071073.13	MGAT4A	2018	0.384
ENST00000654365.1	ENSG00000226791.7	LINC02611	3223	0.486
ENST00000462314.1	ENSG00000196872.12	CRACDL	846	0.615
ENST00000674128.1	ENSG00000135951.16	TSGA10	3160	0.389
ENST00000650052.1	ENSG00000273045.6	C2orf15	1406	0.448
ENST00000465095.1	ENSG00000241962.9	AC079447.1	462	0.405
ENST00000651691.1	ENSG00000144182.17	LIPT1	1266	0.389
ENST00000464685.1	ENSG00000158411.11	MITD1	3270	0.393
ENST00000465432.1	ENSG00000185414.20	MRPL30	1752	0.431
ENST00000423306.1	ENSG00000185674.9	LYG2	682	0.501
ENST00000409448.1	ENSG00000144214.10	LYG1	1038	0.484
ENST00000438680.1	ENSG00000115514.12	TXNDC9	739	0.429
ENST00000617677.11	ENSG00000158417.11	EIF5B	4698	0.398
ENST00000473819.1	ENSG00000135945.10	REV1	1352	0.407
ENST00000671937.1	ENSG00000144218.19	AFF3	5267	0.449
ENST00000441036.1	ENSG00000232084.5	LINC01104	581	0.539
ENST00000409647.1	ENSG00000170500.13	LONRF2	2363	0.456
ENST00000487860.1	ENSG00000115526.11	CHST10	596	0.492
ENST00000450127.1	ENSG00000115539.14	PDCL3	662	0.45
ENST00000656514.1	ENSG00000234988.2	LINC01849	2745	0.474
ENST00000495559.1	ENSG00000170485.17	NPAS2	3834	0.503
ENST00000652285.11	ENSG00000230140.7	NPAS2-AS1	1171	0.539
ENST00000409711.1	ENSG00000071082.11	RPL31	2328	0.468
ENST00000409318.1	ENSG00000204634.12	TBC1D8	3803	0.541
ENST00000462489.1	ENSG00000158435.8	CNOT11	572	0.462
ENST00000478404.1	ENSG00000163162.9	RNF149	997	0.351
ENST00000486966.1	ENSG00000175874.10	CREG2	775	0.63
ENST00000646446.1	ENSG00000196460.14	RFX8	1942	0.441
ENST00000634702.1	ENSG00000071054.16	MAP4K4	3800	0.488
